#,name,batch,date_announced,link,description,type,career_stage,personal_links,personal_info,mr_posts,project_links,,,Categories
18,Andrew L. Roberts,2,2018-12-14,marginalrevolution.com/marginalrevolution/2018/12/second-cohort-emergent-ventures-winners.html,"Andrew L. Roberts, Northwestern University, a small grant to further his work on how sports relates to politics.",Research,,"linkedin.com/in/andrew-roberts-9336565/
","Evanston
Associate Professor and Associate Chair
sites.google.com/site/robertspolisci/",marginalrevolution.com/marginalrevolution/2015/11/best-non-fiction-books-of-2015.html,polisci.northwestern.edu/people/core-faculty/andrew-roberts.html,,,
19,Stefan de Villiers,2,2018-12-14,marginalrevolution.com/marginalrevolution/2018/12/second-cohort-emergent-ventures-winners.html,"Stefan de Villiers, high school student, to create podcasts on the decisions of other high school students and how/why they become successful.",Podcast,,"linkedin.com/in/stefandevilliers/
twitter.com/stefdevilliers",sdevilliers.com/,-,-,,,
20,Brian Burns,2,2018-12-14,marginalrevolution.com/marginalrevolution/2018/12/second-cohort-emergent-ventures-winners.html,"Brian Burns is working (with Samo Burja) on the history of mathematics and career networks, with special attention to the blossoming of innovation in 18th century Göttingen: “The secret to producing flourishing mathematical and scientific traditions may lie in a careful study of institutions. I will undertake this investigation and in the process uncover lost mathematical knowledge.” Gauss, Riemann, and Hilbert!",Research,,linkedin.com/in/brian-burns-8b7748b4/ ,-,-,-,,,
21,Can Olcer,2,2018-12-14,marginalrevolution.com/marginalrevolution/2018/12/second-cohort-emergent-ventures-winners.html,"Can Olcer is one of the two entrepreneurs behind Kosmos School, a K-12 school that exists only in virtual reality, a for-profit enterprise with an emphasis on science education.",Startup,,-,-,-,kosmosschool.com/,,,
22,Anonymous,2,2018-12-14,marginalrevolution.com/marginalrevolution/2018/12/second-cohort-emergent-ventures-winners.html,"Anonymous, working on a board game for ten years, aimed at teaching basic economics, including supply and demand and the core ideas of Ronald Coase. The grant is for marketing the game.",Non profit,,-,-,-,-,,,
23,Sophie Sandor,2,2018-12-14,marginalrevolution.com/marginalrevolution/2018/12/second-cohort-emergent-ventures-winners.html,"Sophie Sandor is a 23-year-old Scottish film-maker making films with “noticeable themes [of] rational optimism, ambition and a rejection of the victimhood notion that millennials are prone to.",Non profit,,twitter.com/SophieSandor?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,"Liverpool, England
uncouthchicfilms.uk/ ",-,1828uk.com/author/sophiesandor/,,,
24,Nicholas Dunk,2,2018-12-14,marginalrevolution.com/marginalrevolution/2018/12/second-cohort-emergent-ventures-winners.html,"Nicholas Dunk has a for-profit to bring voice recognition/machine transcription to the daily tasks of doctors. The goal is to solve paperwork problems, free up doctor time, encourage better record-keeping, and improve accuracy, all toward the end of higher quality and less expensive health care.",Startup,,linkedin.com/in/nicholas-dunk-8b9891182/,-,-,-,,,
25,Lama Al Rajih,2,2018-12-14,marginalrevolution.com/marginalrevolution/2018/12/second-cohort-emergent-ventures-winners.html,"Lama Al Rajih, a young Saudi CS student, building Therma, among other projects, she received a travel grant to visit potential mentors.",Travel,,https://www.linkedin.com/in/lamaalrajih/,-,-,"twitter.com/lamaalrajih?lang=en
medium.com/@LamaAlRajih/therma-d2a98d44062a",,,
26,Jordan Schneider,3,2019-03-11,marginalrevolution.com/marginalrevolution/2019/03/the-third-cohort-of-emergent-ventures-recipients.html,"Jordan Schneider, for newsletter and podcast and writing work “explaining the rise of Chinese tech and its global ramifications.”",Writing (Online),,"linkedin.com/in/jorschneider/
twitter.com/jordanschnyc?s=20 ","New York, USA
Senior Analyst at Rhodium Group, Host of the ChinaTalk Podcast and Newsletter, Fellow at CNAS
chinatalk.substack.com 
rhg.com 
cnas.org ","marginalrevolution.com/marginalrevolution/2020/08/sunday-assorted-links-278.html 
marginalrevolution.com/marginalrevolution/2021/07/friday-assorted-links-317.html 
marginalrevolution.com/marginalrevolution/2020/06/wednesday-assorted-links-250.html 
marginalrevolution.com/marginalrevolution/2020/10/thursday-assorted-links-279.html 
marginalrevolution.com/marginalrevolution/2021/04/sunday-assorted-links-310.html ","chinaecontalk.substack.com/
podcasts.apple.com/us/podcast/chinatalk/id1289062927?mt=2",,,
27,Michelle Rorich,3,2019-03-11,marginalrevolution.com/marginalrevolution/2019/03/the-third-cohort-of-emergent-ventures-recipients.html,"Michelle Rorich, for her work in economic development and Africa, to be furthered by a bike trip Cairo to Capetown.",Research,,"linkedin.com/in/michelle-rorich-106b21104/
facebook.com/michelle.rorich.5 ",-,-,ourafricapolepole.org/our-africa-1?fbclid=IwAR2FqNW0WatvlK8m64HHu-zOodMJg8pNcoo46AyvwY-NKsxRDk7oDSDK7Mk,,,
28,"Craig Palsson, Market Power",3,2019-03-11,marginalrevolution.com/marginalrevolution/2019/03/the-third-cohort-of-emergent-ventures-recipients.html,"Craig Palsson, Market Power, a new YouTube channel for economics.",Writing (Online),,"twitter.com/MarketPowerYT?s=20
linkedin.com/in/craigpalsson/ ","Logan, USA
youtube.com/channel/UC9a_V7YbGGmWphAzk8_4LFQ
craigpalsson.com ",marginalrevolution.com/marginalrevolution/2019/01/craig-palsson-does-economics-on-youtube-market-power.html,"dinkes.lomboktengahkab.go.id/wp-content/uploads/2021/06/pkvgames.html
twitter.com/MarketPowerYT?lang=en",,,
29,Jeffrey C. Huber,3,2019-03-11,marginalrevolution.com/marginalrevolution/2019/03/the-third-cohort-of-emergent-ventures-recipients.html,"Jeffrey C. Huber, to write a book on tech and economic progress from a Christian point of view.",Writing (Book),,twitter.com/jeffreyhuber,-,-,-,,,
30,Mayowa Osibodu,3,2019-03-11,marginalrevolution.com/marginalrevolution/2019/03/the-third-cohort-of-emergent-ventures-recipients.html,"Mayowa Osibodu, building AI programs to preserve endangered languages.",Non profit,,"linkedin.com/in/mayowa-osibodu-77830a1b3/ 
twitter.com/mayowa_osibodu 
facebook.com/me.mayowa.osibodu ","Pedra de Lume, Cape Verde
Cross-Disciplinary Research and Implementation at Aditu
linkedin.com/company/aditutech/ ",-,aditu.tech,,,
31,David Forscey,3,2019-03-11,marginalrevolution.com/marginalrevolution/2019/03/the-third-cohort-of-emergent-ventures-recipients.html,"David Forscey, travel grant to look into issues and careers surrounding protection against election fraud.",Travel,,"linkedin.com/in/david-forscey-a4354374/ 
twitter.com/david4c1 
facebook.com/david.forscey ","Washington, DC, USA
aspeninstitute.org/our-people/david-forscey/",marginalrevolution.com/marginalrevolution/category/religion/page/6,-,,,
32,Jennifer Doleac,3,2019-03-11,marginalrevolution.com/marginalrevolution/2019/03/the-third-cohort-of-emergent-ventures-recipients.html,"Jennifer Doleac, Texas A&M, to develop an evidence-based law and economics, crime and punishment podcast.",Podcast,,"twitter.com/jenniferdoleac?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
linkedin.com/in/jdoleac/ 
 jenniferdoleac.com 
facebook.com/jennifer.doleac ","Austin, Texas
Director of twitter.com/JusticeTechLab 
Host of twitter.com/ProbCausation 
Co-director of twitter.com/CJExpertPanel","marginalrevolution.com/marginalrevolution/2020/06/jennifer-doleac-thread-on-what-works-to-improve-policing.html
marginalrevolution.com/marginalrevolution/2019/08/gun-policy-suggestions-from-jennifer-doleac.html ",jenniferdoleac.com/,,,
33,Fergus McCullough,3,2019-03-11,marginalrevolution.com/marginalrevolution/2019/03/the-third-cohort-of-emergent-ventures-recipients.html,"Fergus McCullough, University of St. Andrews, travel grant to help build a career in law/history/politics/public affairs.",Travel,High school,"linkedin.com/in/fergus-mccullough-575356144/ 
twitter.com/f_mccullough ","Blog: fergus-mccullough.com/index.php/posts/ 
fergusm.substack.com",marginalrevolution.com/marginalrevolution/2021/06/monday-assorted-links-309.html,twitter.com/F_McCullough,,,
34,Justin Zheng,3,2019-03-11,marginalrevolution.com/marginalrevolution/2019/03/the-third-cohort-of-emergent-ventures-recipients.html,"Justin Zheng, a high school student working on biometrics for cryptocurrency.",Career development,High school,"linkedin.com/in/zhengjustin/ 
twitter.com/jzlegion ","Founder at Matrix
mtx.gg 
twitter.com/YouAreMatrix ",marginalrevolution.com/marginalrevolution/2019/03/the-best-sentence-i-read-today-2.html,-,,,
35,Matthew Teichman,3,2019-03-11,marginalrevolution.com/marginalrevolution/2019/03/the-third-cohort-of-emergent-ventures-recipients.html,"Matthew Teichman at the University of Chicago, for his work in philosophy podcasting.",Podcast,,"linkedin.com/in/matt-teichman-26646817a/ 
home.uchicago.edu/~teichman/about.html/","Programming Specialist at Digital Library Development Center, University of Chicago","marginalrevolution.com/marginalrevolution/2019/09/saturday-assorted-links-226.html
marginalrevolution.com/marginalrevolution/2019/10/tuesday-assorted-links-234.html ","home.uchicago.edu/~teichman/podcast.html
home.uchicago.edu/~teichman/about.html",,,
36,Kyle Eschen,3,2019-03-11,marginalrevolution.com/marginalrevolution/2019/03/the-third-cohort-of-emergent-ventures-recipients.html,"Kyle Eschen, comedian and magician and entertainer, to work on an initiative for the concept of “steelmanning” arguments.",Research,,twitter.com/kyleeschen ,-,-,google.com/search?source=hp&ei=yYCCXPawPIuZ_QbX4J_ACQ&q=kyle+eschen&btnK=Google+Search&oq=kyle+eschen&gs_l=psy-ab.3..0l10.520.1727..2054...0.0..0.527.1175.11j5-1....2..0....1..gws-wiz.....0..35i39j0i131j0i131i67j0i67.G3RB6XRJIKY,,,
37,Kadeem and Savannah Noray,4,2019-05-02,marginalrevolution.com/marginalrevolution/2019/05/emergent-ventures-fourth-cohort-of-award-recipients.html,"Kadeem and Savannah Noray, graduate students at Harvard, economics and HKS, general support and also to study how to identify undervalued, high potential K-12 students.",Research,,twitter.com/knoray23 ,kadeemnoray.com/ ,-,"sites.google.com/view/savannahnoray 
scholar.harvard.edu/kadeem/home ",,,
38,José Luis Ricón,4,2019-05-02,marginalrevolution.com/marginalrevolution/2019/05/emergent-ventures-fourth-cohort-of-award-recipients.html,"José Luis Ricón, for blogging and to develop further platforms for information dissemination.",Writing (Online),,twitter.com/ArtirKel,artirj.github.io/ ,"marginalrevolution.com/marginalrevolution/2018/10/speed-skyscraper-construction-declining.html
marginalrevolution.com/marginalrevolution/2019/09/special-emergent-ventures-tranche-to-study-the-nature-and-causes-of-progress.html",artirj.github.io/,,,
39,Arun Johnson,4,2019-05-02,marginalrevolution.com/marginalrevolution/2019/05/emergent-ventures-fourth-cohort-of-award-recipients.html,"Arun Johnson, high school student in the Bay Area, to advance his work in physics, chemistry, nuclear fusion, and for general career development.",Career development,,linkedin.com/in/arun-j-aa742516/ ,-,-,-,,,
40,Thomas McCarthy,4,2019-05-02,marginalrevolution.com/marginalrevolution/2019/05/emergent-ventures-fourth-cohort-of-award-recipients.html,"Thomas McCarthy, undergraduate at Dublin, Trinity College, travel grant to the Bay Area, and for his work on nuclear fusion and running start-up programs to cultivate young Irish entrepreneurs.",Travel,High school,twitter.com/fusorfusion,tommccarthyprojects.com/ ,-,tommccarthyprojects.com/blog/,,,
41,Natalya Naumenko,4,2019-05-02,marginalrevolution.com/marginalrevolution/2019/05/emergent-ventures-fourth-cohort-of-award-recipients.html,"Natalya Naumenko, economist, incoming faculty at George Mason University, to study the long-term impact of nuclear explosions on health, and also more broadly to study the history of health in the Soviet Union and afterwards.",Research,,-,natalyanaumenko.com/ ,marginalrevolution.com/marginalrevolution/2021/08/the-political-economic-causes-of-the-soviet-great-famine-1932-33.html,natalyanaumenko.com/,,,
42,Paul Novosad,4,2019-05-02,marginalrevolution.com/marginalrevolution/2019/05/emergent-ventures-fourth-cohort-of-award-recipients.html,"Paul Novosad, with Sam Asher, assistant professor at Dartmouth, to enable the construction of a scalable platform for the integration and dissemination of socioeconomic data in India, ideally to cover every town and village, toward the end of informing actionable improvements.",Research,,linkedin.com/in/paul-novosad-4b3a8746/,Assistant Professor of Economics at Dartmouth College,"marginalrevolution.com/marginalrevolution/2021/06/north-vs-south-india.html
marginalrevolution.com/marginalrevolution/2021/05/where-next-forecasting-covid-in-india.html
marginalrevolution.com/marginalrevolution/2021/08/markets-in-everything-65.html
marginalrevolution.com/marginalrevolution/2019/09/the-shrug-platform-is-now-open.html
marginalrevolution.com/marginalrevolution/2019/09/how-much-does-advertising-matter-anyway.html
marginalrevolution.com/marginalrevolution/2020/04/emergent-ventures-india.html
marginalrevolution.com/marginalrevolution/2020/06/should-departments-own-and-control-journals.html
marginalrevolution.com/marginalrevolution/2019/08/mortality-change-among-less-educated-americans.html
marginalrevolution.com/marginalrevolution/2020/05/why-the-fda-is-banning-the-gates-connected-testing-kits.html",dartmouth.edu/~novosad/,,,
43,Alexey Guzey,4,2019-05-02,marginalrevolution.com/marginalrevolution/2019/05/emergent-ventures-fourth-cohort-of-award-recipients.html,"Alexey Guzey, travel grant to the Bay Area, for blogging and internet writing, plus for working on systems for improving scientific patronage.",Career development,,"twitter.com/alexeyguzey
facebook.com/alexeyguzey
vk.com/alexeyguzey
","Studied Economics and Mathematics at National Research University – Higher School of Economics
Site:
guzey.com/
","marginalrevolution.com/marginalrevolution/2019/08/alexey-guzey-on-progress-in-the-life-sciences.html
marginalrevolution.com/marginalrevolution/2019/11/saturday-assorted-links-234.html
marginalrevolution.com/marginalrevolution/2021/05/friday-assorted-links-311.html
marginalrevolution.com/marginalrevolution/2019/04/thursday-assorted-links-201.html
marginalrevolution.com/marginalrevolution/2018/10/thursday-assorted-links-180.html",guzey.com/,,,
44,Dylan DelliSanti,4,2019-05-02,marginalrevolution.com/marginalrevolution/2019/05/emergent-ventures-fourth-cohort-of-award-recipients.html,"Dylan DelliSanti, to teach an economics class to prisoners, and also to explore how that activity might be done on a larger scale.",Research,,linkedin.com/in/dylan-dellisanti-28126228/,"Washington, Washington, United States of America. GMU Econ PhD '19",-,dylandellisanti.com/,,,
45,Neil Deshmukh,4,2019-05-02,marginalrevolution.com/marginalrevolution/2019/05/emergent-ventures-fourth-cohort-of-award-recipients.html,"Neil Deshmukh, high school student in Pennsylvania, for general career support and also his work with apps to help Indian farmers identify crop disease and to help the blind interpret images.",Career development,High school,"twitter.com/NeilDeshmukh
linkedin.com/in/neildeshmukh/
","Macungie, Pennsylvania, United States of America
Founder, PlantumAI | Co-Founder, VocalEyes | MIT",marginalrevolution.com/marginalrevolution/2020/04/emergent-ventures-india.html,plantum.ai/,,,
46,James Gallagher,5,2019-09-05,marginalrevolution.com/marginalrevolution/2019/09/emergent-ventures-winners-fifth-cohort.html,"16-year-old programmer from Northern England, grant for career development and his interest in income-sharing agreements.",Career development,High school,,-,marginalrevolution.com/marginalrevolution/2014/02/how-beautiful-is-mathematics.html,"hackernoon.com/community-and-capitalism-publicly-traded-person-8554afb674bf
twitter.com/jamesg_oca ",,,
47,Namrata Narain,5,2019-09-05,marginalrevolution.com/marginalrevolution/2019/09/emergent-ventures-winners-fifth-cohort.html,"Incoming Harvard Ph.D student in economics, for work on “What happens to the ability of firms to write contracts when courts are dysfunctional? [in India]” and related ideas.",Research,High school,linkedin.com/in/namrata-narain-99412262/,"PhD in Economics, Harvard University
Site:
namratanarain.com/",marginalrevolution.com/marginalrevolution/2020/04/emergent-ventures-india.html,twitter.com/nummoose?lang=en,,,
48,Tejas Subramaniam,5,2019-09-05,marginalrevolution.com/marginalrevolution/2019/09/emergent-ventures-winners-fifth-cohort.html,"17-year-old from Chennai, Twitter here.",Career development,High school,linkedin.com/in/tejassubramaniam/,"Chennai, India. Intern at Rethink Priorities
Site:
tejassubramaniam.com/","marginalrevolution.com/marginalrevolution/2019/09/saturday-assorted-links-225.html
marginalrevolution.com/marginalrevolution/2020/04/emergent-ventures-india.html",twitter.com/tejasreal?lang=en,,,
49,Andy Matuschak,5,2019-09-05,marginalrevolution.com/marginalrevolution/2019/09/emergent-ventures-winners-fifth-cohort.html,"San Francisco, to support his project to reexamine and fundamentally improve the book as a method for learning and absorbing ideas, Twitter here. Here is his essay on why books do not work.",Research,Middle,"facebook.com/andy.matuschak
instagram.com/andymatuschak/","San Francisco, California
Работал в: Khan Academy
Site:
andymatuschak.org/","marginalrevolution.com/marginalrevolution/2021/01/2021-assorted-links.html
marginalrevolution.com/marginalrevolution/2020/07/wednesday-assorted-links-257.html
marginalrevolution.com/marginalrevolution/2019/10/friday-assorted-links-230.html","twitter.com/andy_matuschak?lang=en
andymatuschak.org/books/",,,
50,Nicholas Donahue and Austin Kahn,5,2019-09-05,marginalrevolution.com/marginalrevolution/2019/09/emergent-ventures-winners-fifth-cohort.html,"Has a start-up, open source VR headset focused towards makers and web developers, based on the notion that the web is the proper platform for VR.",Startup,,"Nicholas Donahue
linkedin.com/in/nicholas-donahue-0b77b7128/
youtube.com/channel/UC0hWXXrAJGiCqTJeSku3AzA


Austin Kahn
linkedin.com/in/austinkahn/?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABn-PTMBIypRKy2xSgt2qOvz2lIVh9gpj-A
instagram.com/austin.kahn/
youtube.com/channel/UCq-P-lZ9KTrV5YeYYb3e-ow
","Nicholas Donahue
San Francisco, California, United States of America
CEO and Co-Founder at Atmos 

Austin Kahn
San Francisco, California, United States of America
Co-founder & Head of Product ",-,"linkedin.com/in/nicholas-donahue-0b77b7128/
austin-kahn.com/",,,
51,Clementine Jacoby and Recidiviz,5,2019-09-05,marginalrevolution.com/marginalrevolution/2019/09/emergent-ventures-winners-fifth-cohort.html,"To start a non-profit to collect and spread data on recidivism and penal reform for state-level policy, Fast Company article on Recidiviz here.",Non profit,,"Clementine Jacoby 
linkedin.com/in/clementine-jacoby-50578483/","Clementine Jacoby 
Stanford, California, United States of America
Cofounder, CEO at Recidiviz

Recidiviz
Site:
recidiviz.org/","marginalrevolution.com/marginalrevolution/2021/02/clementine-jacoby-emergent-ventures-winner.html
marginalrevolution.com/marginalrevolution/2020/08/thursday-assorted-links-268.html",fastcompany.com/90390430/why-this-google-project-manager-left-to-work-on-criminal-justice-reform,,,
